line_id f_0_rel_ha_val f_0_rel_ha_unc
OII_3727 2.75477 0.35181
NeIII_3868 0.71599 0.13821
NeIII_3969 0.32372 0.09789
Hc_4340 0.16280 0.03609
HeII_4686 0.06240 0.01520
OIII_4959 0.96587 0.05369
OIII_5007 2.79397 0.15189
NI_5199 0.02483 0.00686
NII_5754 0.01547 0.00132
HeI_5876 0.06105 0.00370
OI_6300 0.14827 0.00718
SIII_6312 0.00302 0.00067
OI_6364 0.04697 0.00233
NII_6548 0.38335 0.01926
NII_6583 1.38808 0.06653
HeI_6678 0.01444 0.00091
SII_6716 0.09225 0.00496
SII_6731 0.08971 0.00483
HeI_7065 0.01387 0.00093
ArIII_7136 0.10491 0.00617
HeI_7281 0.00279 0.00051
OII_7320 0.03610 0.00223
OII_7330 0.03002 0.00185
ArIII_7751 0.02211 0.00160
