radius HeII_4686_s HeII_4686_s_unc HeII_4686_n HeII_4686_n_unc HeII_4686_a HeII_4686_a_unc Hb_4861_s Hb_4861_s_unc Hb_4861_n Hb_4861_n_unc Hb_4861_a Hb_4861_a_unc OIII_4959_s OIII_4959_s_unc OIII_4959_n OIII_4959_n_unc OIII_4959_a OIII_4959_a_unc OIII_5007_s OIII_5007_s_unc OIII_5007_n OIII_5007_n_unc OIII_5007_a OIII_5007_a_unc NII_5754_s NII_5754_s_unc NII_5754_n NII_5754_n_unc NII_5754_a NII_5754_a_unc HeI_5876_s HeI_5876_s_unc HeI_5876_n HeI_5876_n_unc HeI_5876_a HeI_5876_a_unc NII_6548_s NII_6548_s_unc NII_6548_n NII_6548_n_unc NII_6548_a NII_6548_a_unc Ha_6563_s Ha_6563_s_unc Ha_6563_n Ha_6563_n_unc Ha_6563_a Ha_6563_a_unc NII_6583_s NII_6583_s_unc NII_6583_n NII_6583_n_unc NII_6583_a NII_6583_a_unc SII_6716_s SII_6716_s_unc SII_6716_n SII_6716_n_unc SII_6716_a SII_6716_a_unc SII_6731_s SII_6731_s_unc SII_6731_n SII_6731_n_unc SII_6731_a SII_6731_a_unc H2_1_0_S1_s H2_1_0_S1_s_unc H2_1_0_S1_n H2_1_0_S1_n_unc H2_1_0_S1_a H2_1_0_S1_a_unc
0.00000e+00 1.59498e-14 1.81832e-15 1.59498e-14 1.78244e-15 1.59498e-14 1.27312e-15 3.17408e-14 5.05956e-15 3.17408e-14 4.97722e-15 3.17408e-14 3.54866e-15 6.99675e-14 1.74476e-14 6.99675e-14 1.64480e-14 6.99675e-14 1.19891e-14 1.90332e-13 5.04738e-14 1.90332e-13 4.62858e-14 1.90332e-13 3.42417e-14 2.88921e-15 2.24440e-16 2.88921e-15 2.73956e-16 2.88921e-15 1.77077e-16 6.71509e-15 9.45232e-16 6.71509e-15 8.84463e-16 6.71509e-15 6.47252e-16 2.34087e-14 4.69317e-15 2.34087e-14 5.04009e-15 2.34087e-14 3.44341e-15 7.72403e-14 1.45718e-14 7.72403e-14 1.41820e-14 7.72403e-14 1.01669e-14 7.75269e-14 1.66730e-14 7.75269e-14 1.78903e-14 7.75269e-14 1.22275e-14 8.01188e-15 1.16080e-15 8.01188e-15 1.13794e-15 8.01188e-15 8.12766e-16 7.00166e-15 1.09649e-15 7.00166e-15 1.11066e-15 7.00166e-15 7.80360e-16 5.32124e-16 5.30705e-17 5.32124e-16 5.56483e-17 5.32124e-16 3.84487e-17
2.50000e-01 1.43996e-14 1.81832e-15 1.53080e-14 1.78244e-15 1.48538e-14 1.27312e-15 3.18783e-14 5.05956e-15 3.66272e-14 4.97722e-15 3.42528e-14 3.54866e-15 7.16570e-14 1.74476e-14 7.18138e-14 1.64480e-14 7.17354e-14 1.19891e-14 1.88341e-13 5.04738e-14 1.76726e-13 4.62858e-14 1.82533e-13 3.42417e-14 1.02602e-15 2.24440e-16 3.75142e-15 2.73956e-16 2.38872e-15 1.77077e-16 6.02693e-15 9.45232e-16 5.94534e-15 8.84463e-16 5.98614e-15 6.47252e-16 2.19381e-14 4.69317e-15 2.37366e-14 5.04009e-15 2.28373e-14 3.44341e-15 7.59285e-14 1.45718e-14 7.66170e-14 1.41820e-14 7.62727e-14 1.01669e-14 7.27060e-14 1.66730e-14 7.86633e-14 1.78903e-14 7.56846e-14 1.22275e-14 6.62036e-15 1.16080e-15 8.04642e-15 1.13794e-15 7.33339e-15 8.12766e-16 5.88295e-15 1.09649e-15 7.46083e-15 1.11066e-15 6.67189e-15 7.80360e-16 2.36716e-16 5.30705e-17 3.39499e-16 5.56483e-17 2.88108e-16 3.84487e-17
5.00000e-01 1.28495e-14 1.81832e-15 1.46663e-14 1.78244e-15 1.37579e-14 1.27312e-15 2.64190e-14 5.05956e-15 3.06535e-14 4.97722e-15 2.85363e-14 3.54866e-15 6.64674e-14 1.74476e-14 6.92441e-14 1.64480e-14 6.78558e-14 1.19891e-14 1.87698e-13 5.04738e-14 1.85344e-13 4.62858e-14 1.86521e-13 3.42417e-14 4.85517e-16 2.24440e-16 3.72286e-15 2.73956e-16 2.10419e-15 1.77077e-16 5.33877e-15 9.45232e-16 5.17560e-15 8.84463e-16 5.25719e-15 6.47252e-16 1.93264e-14 4.69317e-15 2.17406e-14 5.04009e-15 2.05335e-14 3.44341e-15 7.30762e-14 1.45718e-14 7.63503e-14 1.41820e-14 7.47133e-14 1.01669e-14 6.54900e-14 1.66730e-14 7.72811e-14 1.78903e-14 7.13856e-14 1.22275e-14 4.98778e-15 1.16080e-15 7.51098e-15 1.13794e-15 6.24938e-15 8.12766e-16 5.34610e-15 1.09649e-15 6.93145e-15 1.11066e-15 6.13878e-15 7.80360e-16 1.19353e-15 5.30705e-17 7.75801e-16 5.56483e-17 9.84663e-16 3.84487e-17
7.50000e-01 1.12993e-14 1.81832e-15 1.40245e-14 1.78244e-15 1.26619e-14 1.27312e-15 2.52914e-14 5.05956e-15 3.19569e-14 4.97722e-15 2.86242e-14 3.54866e-15 6.53756e-14 1.74476e-14 7.15868e-14 1.64480e-14 6.84812e-14 1.19891e-14 1.82226e-13 5.04738e-14 1.96124e-13 4.62858e-14 1.89175e-13 3.42417e-14 8.86036e-16 2.24440e-16 2.44462e-15 2.73956e-16 1.66533e-15 1.77077e-16 4.65062e-15 9.45232e-16 4.40586e-15 8.84463e-16 4.52824e-15 6.47252e-16 1.67645e-14 4.69317e-15 2.06611e-14 5.04009e-15 1.87128e-14 3.44341e-15 7.01820e-14 1.45718e-14 7.37868e-14 1.41820e-14 7.19844e-14 1.01669e-14 5.74032e-14 1.66730e-14 7.23055e-14 1.78903e-14 6.48543e-14 1.22275e-14 4.24666e-15 1.16080e-15 7.20232e-15 1.13794e-15 5.72449e-15 8.12766e-16 4.15757e-15 1.09649e-15 6.29201e-15 1.11066e-15 5.22479e-15 7.80360e-16 1.19680e-15 5.30705e-17 1.14987e-15 5.56483e-17 1.17334e-15 3.84487e-17
1.00000e+00 9.74912e-15 1.81832e-15 1.33827e-14 1.78244e-15 1.15659e-14 1.27312e-15 2.48530e-14 5.05956e-15 2.62019e-14 4.97722e-15 2.55275e-14 3.54866e-15 5.55319e-14 1.74476e-14 7.08624e-14 1.64480e-14 6.31972e-14 1.19891e-14 1.86704e-13 5.04738e-14 1.83530e-13 4.62858e-14 1.85117e-13 3.42417e-14 -3.55272e-16 2.24440e-16 2.33035e-15 2.73956e-16 9.87539e-16 1.77077e-16 4.05811e-15 9.45232e-16 3.86438e-15 8.84463e-16 3.96125e-15 6.47252e-16 1.51414e-14 4.69317e-15 2.09913e-14 5.04009e-15 1.80664e-14 3.44341e-15 6.53869e-14 1.45718e-14 7.22820e-14 1.41820e-14 6.88344e-14 1.01669e-14 5.05155e-14 1.66730e-14 7.01700e-14 1.78903e-14 6.03428e-14 1.22275e-14 3.35380e-15 1.16080e-15 6.87754e-15 1.13794e-15 5.11567e-15 8.12766e-16 3.10652e-15 1.09649e-15 5.32723e-15 1.11066e-15 4.21688e-15 7.80360e-16 7.92932e-16 5.30705e-17 7.08489e-16 5.56483e-17 7.50711e-16 3.84487e-17
1.25000e+00 8.59823e-15 1.81832e-15 1.27409e-14 1.78244e-15 1.06696e-14 1.27312e-15 2.36888e-14 5.05956e-15 2.20179e-14 4.97722e-15 2.28533e-14 3.54866e-15 5.59928e-14 1.74476e-14 6.32963e-14 1.64480e-14 5.96446e-14 1.19891e-14 1.81349e-13 5.04738e-14 1.87566e-13 4.62858e-14 1.84458e-13 3.42417e-14 6.22415e-16 2.24440e-16 1.97050e-15 2.73956e-16 1.29646e-15 1.77077e-16 3.55648e-15 9.45232e-16 3.53975e-15 8.84463e-16 3.54812e-15 6.47252e-16 1.23092e-14 4.69317e-15 1.98381e-14 5.04009e-15 1.60736e-14 3.44341e-15 6.75714e-14 1.45718e-14 7.26470e-14 1.41820e-14 7.01092e-14 1.01669e-14 4.77662e-14 1.66730e-14 6.85450e-14 1.78903e-14 5.81556e-14 1.22275e-14 2.87099e-15 1.16080e-15 6.32661e-15 1.13794e-15 4.59880e-15 8.12766e-16 2.94858e-15 1.09649e-15 5.50333e-15 1.11066e-15 4.22596e-15 7.80360e-16 9.38468e-16 5.30705e-17 2.98230e-16 5.56483e-17 6.18349e-16 3.84487e-17
1.50000e+00 8.33461e-15 1.81832e-15 1.20990e-14 1.78244e-15 1.02168e-14 1.27312e-15 2.43546e-14 5.05956e-15 3.11732e-14 4.97722e-15 2.77639e-14 3.54866e-15 6.83854e-14 1.74476e-14 6.51501e-14 1.64480e-14 6.67677e-14 1.19891e-14 1.78281e-13 5.04738e-14 1.81281e-13 4.62858e-14 1.79781e-13 3.42417e-14 1.84644e-15 2.24440e-16 1.71934e-15 2.73956e-16 1.78289e-15 1.77077e-16 3.05485e-15 9.45232e-16 3.21513e-15 8.84463e-16 3.13499e-15 6.47252e-16 1.28992e-14 4.69317e-15 1.94419e-14 5.04009e-15 1.61706e-14 3.44341e-15 6.40371e-14 1.45718e-14 7.23179e-14 1.41820e-14 6.81775e-14 1.01669e-14 4.51530e-14 1.66730e-14 6.78426e-14 1.78903e-14 5.64978e-14 1.22275e-14 2.69175e-15 1.16080e-15 5.90195e-15 1.13794e-15 4.29685e-15 8.12766e-16 2.65306e-15 1.09649e-15 5.65385e-15 1.11066e-15 4.15346e-15 7.80360e-16 8.16486e-16 5.30705e-17 3.72976e-16 5.56483e-17 5.94731e-16 3.84487e-17
1.75000e+00 8.07100e-15 1.81832e-15 1.14571e-14 1.78244e-15 9.76404e-15 1.27312e-15 2.63207e-14 5.05956e-15 2.22138e-14 4.97722e-15 2.42673e-14 3.54866e-15 6.59767e-14 1.74476e-14 6.10031e-14 1.64480e-14 6.34899e-14 1.19891e-14 1.75045e-13 5.04738e-14 1.86189e-13 4.62858e-14 1.80617e-13 3.42417e-14 2.05764e-16 2.24440e-16 6.91729e-16 2.73956e-16 4.48746e-16 1.77077e-16 2.56984e-15 9.45232e-16 2.90572e-15 8.84463e-16 2.73778e-15 6.47252e-16 1.26822e-14 4.69317e-15 2.01277e-14 5.04009e-15 1.64050e-14 3.44341e-15 6.09200e-14 1.45718e-14 7.07241e-14 1.41820e-14 6.58220e-14 1.01669e-14 4.61235e-14 1.66730e-14 6.77876e-14 1.78903e-14 5.69556e-14 1.22275e-14 2.92691e-15 1.16080e-15 5.98267e-15 1.13794e-15 4.45479e-15 8.12766e-16 2.64288e-15 1.09649e-15 5.05134e-15 1.11066e-15 3.84711e-15 7.80360e-16 4.75482e-17 5.30705e-17 1.14831e-16 5.56483e-17 8.11895e-17 3.84487e-17
2.00000e+00 7.80739e-15 1.81832e-15 1.08152e-14 1.78244e-15 9.31128e-15 1.27312e-15 1.22373e-14 5.05956e-15 2.32759e-14 4.97722e-15 1.77566e-14 3.54866e-15 5.79409e-14 1.74476e-14 6.47704e-14 1.64480e-14 6.13557e-14 1.19891e-14 1.60628e-13 5.04738e-14 1.93627e-13 4.62858e-14 1.77128e-13 3.42417e-14 2.97835e-16 2.24440e-16 5.34733e-16 2.73956e-16 4.16284e-16 1.77077e-16 2.71656e-15 9.45232e-16 3.17464e-15 8.84463e-16 2.94560e-15 6.47252e-16 1.38600e-14 4.69317e-15 2.00590e-14 5.04009e-15 1.69595e-14 3.44341e-15 5.96575e-14 1.45718e-14 7.26114e-14 1.41820e-14 6.61345e-14 1.01669e-14 4.98412e-14 1.66730e-14 6.82240e-14 1.78903e-14 5.90326e-14 1.22275e-14 3.61558e-15 1.16080e-15 5.61178e-15 1.13794e-15 4.61368e-15 8.12766e-16 2.82725e-15 1.09649e-15 5.00735e-15 1.11066e-15 3.91730e-15 7.80360e-16 1.68403e-16 5.30705e-17 1.93968e-16 5.56483e-17 1.81185e-16 3.84487e-17
2.25000e+00 7.54377e-15 1.81832e-15 1.01733e-14 1.78244e-15 8.85852e-15 1.27312e-15 1.48674e-14 5.05956e-15 2.92146e-14 4.97722e-15 2.20410e-14 3.54866e-15 5.34213e-14 1.74476e-14 6.61768e-14 1.64480e-14 5.97991e-14 1.19891e-14 1.59965e-13 5.04738e-14 1.87445e-13 4.62858e-14 1.73705e-13 3.42417e-14 3.37732e-16 2.24440e-16 -3.29541e-16 2.73956e-16 4.09552e-18 1.77077e-16 2.86328e-15 9.45232e-16 3.44357e-15 8.84463e-16 3.15342e-15 6.47252e-16 1.46557e-14 4.69317e-15 1.93317e-14 5.04009e-15 1.69937e-14 3.44341e-15 5.78090e-14 1.45718e-14 7.11369e-14 1.41820e-14 6.44730e-14 1.01669e-14 5.38665e-14 1.66730e-14 7.01046e-14 1.78903e-14 6.19855e-14 1.22275e-14 3.84755e-15 1.16080e-15 5.34964e-15 1.13794e-15 4.59860e-15 8.12766e-16 3.18076e-15 1.09649e-15 4.94394e-15 1.11066e-15 4.06235e-15 7.80360e-16 -6.84990e-16 5.30705e-17 8.22232e-17 5.56483e-17 -3.01383e-16 3.84487e-17
