id eff_wl fd_0_val fd_0_unc
UVEX-U 3632.24 1.780199976341556e-15 1.1215120900419015e-15
UVEX-G 4781.36 6.686768160814463e-16 2.0949190083594405e-16
UVEX-R 6154.19 5.53055172184629e-16 1.0077350403516208e-16
PS1-G 4775.6 8.035126392128359e-16 1.820060437705098e-16
PS1-R 6129.5 4.1980185230314923e-16 6.902232668332741e-17
PS1-I 7484.6 1.5543685346869858e-16 1.9341138217391206e-17
PS1-Z 8657.8 9.251290096480353e-17 8.834650534743018e-18
PS1-Y 9603.1 5.1768399735025584e-17 5.842950348315246e-18
UKIDSS-J 12483.0 2.860093393530273e-17 6.006014418127456e-18
UKIDSS-H 16313.0 1.034149114444347e-17 3.1450506694712597e-18
UKIDSS-K 22010.0 1.7603318240886276e-18 2.1984257090871292e-18
