id eff_wl fd_0_val fd_0_unc
UVEX-U 3632.24 2.9151084282584904e-13 8.690044117256803e-14
UVEX-G 4781.36 3.1395860472382447e-13 6.916782512715531e-14
UVEX-R 6154.19 3.035982834805963e-13 4.8892201613335796e-14
IPHAS-Ha 6568.2 2.2700809190890603e-12 3.4259169460512267e-13
IPHAS-R 6154.2 2.925237950215509e-13 4.753381466687018e-14
IPHAS-I 7663.8 3.935806304552724e-14 4.7282863776465944e-15
PS1-G 4775.6 3.1209891936885594e-13 6.8677738503908e-14
PS1-R 6129.5 3.1328719752534063e-13 5.0354788246586456e-14
PS1-I 7484.6 2.134742214562124e-14 2.6344453868197677e-15
PS1-Z 8657.8 1.2013445412323636e-14 1.115892085720054e-15
PS1-Y 9603.1 1.957769175079682e-14 1.5144863041885062e-15
UKIDSS-J 12483.0 5.3795600038195905e-15 6.703373675463937e-16
UKIDSS-H 16313.0 9.244349234886974e-15 6.492282127154472e-16
UKIDSS-K 22010.0 1.423963081569554e-15 1.4657354497980613e-16
UWISH2 21220.0 6.370697265075115e-16 3.2880329553080055e-17
