id eff_wl fd_val fd_unc
IRAC-1 35075.1 7.895265291804185e-16 5.625351322267931e-17
IRAC-2 44365.8 9.148691529983794e-16 5.0187405605236e-16
IRAC-3 56281.0 5.472292406287061e-16 1.1703874701551203e-16
IRAC-4 75891.6 7.9747966384531e-16 2.67766588684426e-16
MIPS-24 232096.0 6.571594995418348e-16 1.4482452173267565e-17
IRAS-1 101464.6 8.322434055305078e-15 0.0
IRAS-2 217265.5 4.601275975876189e-16 9.860761315262648e-32
IRAS-3 519887.3 9.478960390511932e-16 0.0
IRAS-4 952971.0 3.1877862904006533e-15 7.888609052210118e-31
AKARI-1 176094.9 1.009048419803912e-15 1.9721522630525295e-31
AKARI-2 629506.7 8.867244517432918e-16 3.944304526105059e-31
AKARI-3 769035.2 5.121782993154665e-16 9.860761315262648e-32
AKARI-4 1408561.1 2.9448938144636626e-16 4.930380657631324e-32
OCRA-p 100000000.0 1.647055832514345e-22 1.9499033883609713e-23
PARKES 204080000.0 5.474367589531073e-23 0.0
VLA-5 600000000.0 4.975009690507356e-24 4.166727741796961e-26
VLA-1.4 2140000000.0 4.199071147994326e-25 5.240406504706471e-27
